id	age	sex	marital	children	educ	source	smoke	smokenum	lotr1	lotr2	lotr3	lotr4	lotr5	lotr6	mastery1	mastery2	mastery3	mastery4	mastery5	mastery6	mastery7	panas1	panas2	panas3	panas4	panas5	panas6	panas7	panas8	panas9	panas10	panas11	panas12	panas13	panas14	panas15	panas16	panas17	panas18	panas19	panas20	swls1	swls2	swls3	swls4	swls5	pss1	pss2	pss3	pss4	pss5	pss6	pss7	pss8	pss9	pss10	rses1	rses2	rses3	rses4	rses5	rses6	rses7	rses8	rses9	rses10	lotr	mastery	pss	rses	posaff	negaff
88	26	male	single	no	high school	work	no	0	4	3	5	2	3	4	2	4	4	3	4	4	3	4	3	2	4	1	5	4	2	4	2	3	5	3	1	5	1	4	4	3	2	2	2	2	2	4	2	5	4	2	3	2	2	3	5	4	4	4	4	4	4	4	4	3	3	4	21	24	32	38	42	20
89	25	female	steady relationship	no	graduate degree	health/illness	yes	7	4	5	3	5	4	5	4	3	4	4	4	2	3	4	4	4	4	4	3	2	4	3	3	3	2	2	3	2	2	3	2	3	1	4	6	5	6	7	3	4	4	3	2	2	3	3	4	1	4	4	4	4	4	3	4	1	3	3	26	24	29	34	27	31
90	36	female	married first time	yes	high school	children	no	0	3	3	4	3	5	5	3	4	3	1	4	1	4	5	2	1	4	1	5	5	2	5	3	2	4	4	1	4	2	5	4	1	1	6	6	6	6	4	3	2	4	2	2	3	3	3	4	2	4	4	4	4	4	4	4	4	3	4	23	20	28	39	45	16
91	24	male	single	no	undergraduate degree	work	no	0	4	4	4	4	4	4	3	4	2	3	4	3	3	4	2	1	4	1	3	4	1	4	1	2	3	4	1	4	1	4	3	2	2	5	6	5	4	3	4	4	3	2	2	3	3	3	3	4	4	4	2	2	2	2	2	4	2	3	24	22	31	27	37	14
92	56	female	married first time	no	some additional training		no	0	5	5	5	5	2	5	4	4	4	4	4	4	4	4	1	1	3	1	4	4	1	5	1	1	3	4	1	2	1	4	5	1	1	6	7	7	7	6	1	1	2	4	1	2	1	1	1	1	4	4	4	4	4	4	4	4	4	4	27	28	15	40	38	10
93	40	male	married first time	yes	some secondary school	money/finances	no	0	4	4	4	4	4	4	3	4	4	3	4	3	3	2	4	3	2	1	3	2	3	3	4	4	2	2	3	2	3	2	2	3	3	3	3	3	3	4	3	4	3	3	4	3	3	3	4	4	3	4	3	3	1	4	3	2	3	3	24	24	34	29	22	31
94	36	male	single	no	undergraduate degree	lack of time	no	0	3	5	5	3	5	5	4	4	4	4	1	4	3	4	2	1	4	1	5	4	2	3	1	2	4	4	1	2	1	3	5	2	2	3	3	6	2	2	3	1	2	1	1	3	1	1	2	1	4	4	4	4	4	4	4	4	4	4	26	24	16	40	38	15
95	23	female	living with partner	no	undergraduate degree	work	yes	4	2	5	4	5	3	4	2	3	4	3	4	2	3	5	3	2	3	3	3	3	3	3	2	4	4	3	2	4	2	4	3	1	1	5	6	6	7	7	4	3	4	3	3	5	3	4	3	4	4	4	4	4	3	3	3	3	1	1	23	21	36	30	35	23
96	26	male	married first time	no	undergraduate degree	work	yes	5	3	3	4	5	3	5	3	4	4	4	4	4	4	4	1	1	4	1	4	5	1	4	1	1	5	4	1	3	1	3	3	1	1	7	7	7	7	6	1	1	3	1	1	1	2	1	2	2	4	4	4	4	4	4	4	3	4	4	23	27	15	39	39	10
97	60	female	married first time	yes	some additional training	money/finances	no	0	3	5	3	5	5	5	4	4	1	3	4	4	4	5	1	3	5	1	3	5	2	5	1	1	5	5	3	5	2	5	5	2	1	6	6	6	6	3	2	3	3	2	2	4	2	2	2	1	4	4	4	3	4	4	3	3	2	4	26	24	23	35	48	17
98	27	male	steady relationship	no	high school	work	no	0	3	3	3	3	4	4	3	2	4	3	4	3	3	3	3	5	3	2	4	4	3	3	3	3	3	3	5	3	2	3	3	4	3	3	4	3	6	4	3	4	4	3	3	3	3	3	3	3	3	3	3	2	3	3	2	2	2	2	20	22	32	25	32	33
99	70	male	married first time	no	graduate degree	work	no	0	3	3	5	5	4	5	3	3	3	3	3	4	4	5	1	1	3	1	2	5	1	3	1	1	2	2	1	1	1	3	3	1	1	7	7	7	7	4	1	2	2	2	3	1	1	2	3	2	4	4	4	3	3	4	1	4	3	4	25	23	19	34	29	10
100	46	female	divorced	no	some additional training	work	no	0	3	4	4	4	5	4	4	1	4	4	4	4	4	5	2	1	3	1	4	4	1	4	2	2	4	4	1	4	1	3	4	2	1	5	6	5	5	3	4	2	4	2	3	3	2	2	5	3	4	4	4	4	4	4	4	1	4	4	24	25	30	37	39	14
101	39	female	divorced	yes	undergraduate degree	friendships	no	0	4	4	3	4	4	4	2	4	3	3	2	3	2	3	4	2	2	1	4	3	4	3	4	4	2	2	2	3	2	2	2	5	5	4	3	3	2	2	3	4	5	3	3	4	3	3	3	4	3	4	3	3	3	3	3	3	2	3	23	19	35	30	26	33
102	55	female	married first time	no	some secondary school	family	no	0	4	4	5	5	4	3	3	3	4	1	3	2	2	5	4	1	5	1	5	5	3	3	5	2	2	4	1	4	2	5	4	2	1	5	2	5	6	6	4	4	3	2	2	3	3	2	5	4	4	4	4	4	3	3	4	3	2	4	25	18	32	35	42	22
103	33	male	married first time	no	undergraduate degree	work	no	0	3	5	4	5	5	5	2	1	2	3	3	4	4	3	1	1	1	1	3	3	2	3	1	1	2	3	1	2	1	2	4	1	1	6	5	7	7	6	2	2	2	3	1	5	2	2	2	1	4	4	4	3	4	4	4	4	4	4	27	19	22	39	26	11
104	38	female	divorced	no	undergraduate degree	work	no	0	2	3	3	3	4	3	3	3	2	4	3	3	2	3	4	2	2	2	3	1	2	3	4	3	2	2	4	1	3	2	2	3	2	3	3	4	2	3	4	4	4	2	3	4	2	3	4	3	3	3	4	3	2	2	3	2	3	3	18	20	33	28	21	29
105	26	male	single	no	some additional training	work	yes	60	2	3	3	2	3	4	2	3	2	2	3	2	2	4	3	2	4	2	3	2	4	3	4	4	2	2	4	3	2	3	3	3	3	5	6	6	6	4	3	2	3	3	3	3	3	3	4	2	3	3	3	3	3	3	3	2	2	3	17	16	29	28	29	31
106	31	female	married first time	yes	some additional training	money/finances	yes	40	3	3	5	4	4	5	3	4	3	4	4	3	4	5	2	1	5	1	5	5	2	4	1	1	5	5	1	4	1	4	5	1	1	7	5	5	6	7	2	2	2	2	2	3	2	2	3	2	4	4	4	4	4	4	4	4	2	4	24	25	22	38	47	12
107	27	male	steady relationship	no	some additional training	money/finances	yes	7	1	3	3	4	5	4	4	4	3	4	4	2	1	3	2	3	1	1	4	1	1	2	3	4	1	3	2	1	3	3	4	2	1	4	5	5	4	1	1	3	3	3	3	2	3	2	3	2	3	4	4	3	3	4	2	2	3	2	20	22	25	30	23	22
108	35	female	single	no	graduate degree	lack of time	yes	110	3	5	3	4	5	4	3	3	2	2	4	3	2	3	4	2	2	1	3	3	4	2	1	3	2	3	1	3	3	3	2	4	4	5	5	5	4	6	3	4	5	3	3	5	3	3	4	5	3	3	3	3	2	2	3	2	3	3	24	19	38	27	26	27
109	44	male	married first time	yes	some additional training	work	yes	100	3	4	3	4	5	3	3	3	4	3	4	3	4	3	1	1	4	1	3	3	1	2	1	2	3	3	1	2	1	2	4	1	1	5	4	5	7	7	3	1	1	2	2	1	3	2	2	2	4	4	4	3	4	3	4	4	3	4	22	24	19	37	29	11
110	46	female	divorced	yes	some additional training	money/finances	no	0	4	4	5	5	5	5	4	4	4	4	4	3	4	5	3	1	4	1	5	5	1	4	1	2	5	5	1	5	2	4	5	2	1	2	3	3	2	2	2	3	3	1	3	3	2	2	2	3	4	4	3	4	3	2	2	2	2	3	28	27	24	29	47	15
111	28	female	living with partner	no	high school	life in general	no	0	5	4	4	5	5	5	4	4	4	4	4	4	4	4	1	1	4	1	5	5	1	5	2	2	4	4	1	4	1	4	4	1	1	7	7	7	7	7	2	2	1	1	2	2	2	1	2	1	4	4	4	4	4	4	4	4	4	1	28	28	16	37	43	12
112	37	female	married first time	no	graduate degree	work	no	0	4	5	4	5	4	4	3	3	3	4	3	3	4	5	5	2	1	2	4	4	4	4	2	2	4	4	1	4	2	4	4	1	1	6	6	6	6	6	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	3	1	2	26	23	20	34	38	22
113	74	female	widowed	no	undergraduate degree	health/illness	no	0	5	3	4	5	5	4	1	3	3	4	4	4	4	5	1	1	5	1	4	4	1	3	1	1	4	4	1	5	1	5	4	1	1	7	7	7	6	7	2	2	1	2	2	1	2	2	1	1	4	4	4	4	4	4	4	4	4	4	26	23	16	40	43	10
114	82	female	widowed	no	some additional training	health/illness	no	0	4	5	4	5	5	4	3	3	3	3	4	3	4	3	3	1	3	1	3	3	1	2	1	1	1	3	1	1	1	3	3	1	1	6	5	6	6	6	3	2	3	2	2	3	2	2	3	2	3	3	4	3	4	2	4	4	4	4	27	23	24	35	25	12
115	43	male	single	no	some additional training	work	no	0	3	3	4	3	4	4	3	3	4	4	4	4	3	4	1	1	3	1	4	5	2	4	1	2	4	4	1	1	1	3	4	1	1	4	4	2	2	4	3	3	3	2	2	3	3	3	3	4	4	4	4	4	4	3	3	2	3	3	21	25	29	34	36	12
116	24	female	single	no	undergraduate degree	work	no	0	2	3	4	4	4	4	3	4	2	3	4	3	4	5	3	2	4	1	5	3	2	4	1	4	5	4	3	5	3	5	3	4	3	5	5	5	4	4	2	4	4	3	2	3	2	2	3	2	3	3	3	3	4	3	3	2	3	3	21	23	27	30	43	26
117	36	male	married first time	yes	high school	work	no	0	1	3	4	3	5	4	1	3	3	3	3	2	2	3	4	2	2	1	1	3	2	3	2	4	3	3	1	2	4	3	3	1	1	3	5	4	4	6	3	3	4	4	4	4	3	3	3	5	3	4	4	3	4	2	4	2	2	4	20	17	36	32	26	22
118	45	male	married first time	yes	graduate degree	work	no	0	3	5	4	5	5	5	4	4	4	4	4	4	4	4	1	1	4	1	5	5	1	5	3	3	4	4	1	4	1	4	5	1	1	5	5	5	4	3	2	1	1	1	2	2	2	2	2	2	4	4	4	1	4	4	4	4	4	4	27	28	17	37	44	14
119	50	male	married first time	yes	some additional training	money/finances	yes	200	2	4	3	3	3	4	3	3	3	4	4	4	4	3	1	1	3	1	4	4	1	3	1	2	4	4	1	3	1	4	4	1	1	3	2	4	2	3	3	3	3	2	3	3	2	3	3	3	4	4	4	4	4	4	4	4	4	4	19	25	28	40	36	11
120	27	male	single	no	undergraduate degree	work	yes	20	2	2	3	3	3	3	3	3	3	3	3	2	2	2	2	1	2	1	2	3	2	3	1	2	1	2	1	3	1	3	3	3	2	1	2	2	1	1	3	4	3	3	4	2	3	3	4	2	4	3	4	4	2	2	3	3	4	4	16	19	31	33	24	16
121	21	male	single	no	high school	lack of time	no	0	4	5	4	5	4	4	4	4	3	4	4	4	4	5	2	1	2	1	5	5	1	5	2	2	5	5	1	5	1	5	5	1	1	6	7	5	4	3	3	2	3	1	1	2	1	1	5	2	4	4	4	4	2	4	3	4	4	4	26	27	21	37	47	13
122	31	male	living with partner	no	graduate degree	lack of time	no	0	2	3	2	3	3	3	2	2	2	2	2	2	3	2	3	1	3	3	3	2	4	1	3	3	2	2	1	4	3	2	2	4	4	3	4	3	3	3	2	3	4	4	3	3	3	3	3	3	3	3	4	3	4	3	3	2	3	4	16	15	31	32	23	29
123	49	female	married first time	yes	some additional training	children	yes	150	5	5	5	5	5	5	3	4	4	4	4	4	4	3	2	1	2	1	3	3	1	3	1	2	1	3	1	3	1	4	3	1	1	5	6	6	6	5	3	3	2	1	2	2	2	2	2	1	4	4	4	4	4	4	4	4	4	4	30	27	20	40	28	12
124	49	male	married first time	yes	some secondary school				3	2	4	2	2	4	2	3	3	3	3	1	1	5	4	1	4	1	5	5	2	3	5	3	2	4	1	5	1	5	5	5	2	5	5	5	4	4	3	3	2	2	3	2	2	2	3	3	2	1	1	3	2	4	2	3	3	3	17	16	25	24	43	25
125	48	female	married first time	no	high school	money/finances	no	0	2	5	3	3	4	3	4	2	4	4	3	2	4	4	2	2	3	4	2	3	2	2	1	3	1	4	4	3	3	3	3	3	2	3	3	4	4	5	3	3	3	2	2	3	2	2	3	2	4	4	4	4	4	3	2	2	4	4	20	23	25	35	28	26
126	20	female	single	no	high school	work	no	0	3	4	3	4	5	5	2	3	4	4	1	3	3	5	4	3	3	2	4	3	3	3	2	3	4	3	3	5	3	4	4	3	2	4	6	4	2	2	5	3	4	3	2	4	3	3	4	3	4	4	3	3	3	3	3	4	2	2	24	20	34	31	38	28
127	25	male	divorced	no	undergraduate degree	work	yes	20	4	5	4	2	4	4	4	4	4	4	4	3	4	3	1	1	4	1	4	4	2	4	1	1	3	3	1	5	1	5	4	2	1	5	5	6	6	6	2	3	2	2	1	1	1	1	2	1	4	4	4	4	4	4	4	4	4	4	23	27	16	40	39	12
128	58	female	remarried	no	some secondary school	life in general	no	0	5	5	5	4	5	5	3	4	3	3	2	4	4	4	2	1	5	1	5	5	1	5	1	1	4	5	1	4	1	4	5	1	1	6	6	6	6	3	2	2	3	1	1	2	2	1	4	2	4	4	4	4	4	4	4	4	4	4	29	23	20	40	46	11
129	31	male	married first time	yes	some additional training	work	no	0	4	5	5	5	5	5	4	4	4	4	4	4	4	4	2	2	5	1	5	4	1	5	1	2	4	4	2	4	1	5	5	2	1	5	6	6	7	3	3	4	3	2	3	3	2	1	4	1	4	4	4	4	4	4	4	4	4	4	29	28	26	40	45	15
130	29	female	single	no	some secondary school	money/finances	no	0	3	5	5	5	5	5	4	4	4	4	4	4	4	5	1	1	4	1	5	4	1	5	1	1	4	4	1	5	1	5	4	1	1	5	5	5	4	7	2	2	3	1	1	2	3	2	3	2	4	4	4	4	4	4	4	4	4	4	28	28	21	40	45	10
131	22	male	single	no	undergraduate degree	life in general	yes	2	3	4	5	3	3	2	3	3	2	4	4	3	3	5	3	2	4	1	5	4	3	3	4	3	5	5	1	3	1	5	5	2	2	2	6	4	3	1	3	3	4	2	2	4	2	2	4	3	4	4	4	3	4	3	3	2	3	4	20	22	29	34	44	22
132	20	female	living with partner	no	some additional training	money/finances	yes	100	2	3	2	2	4	2	3	3	3	2	4	2	3	2	4	1	3	3	4	2	2	2	4	4	4	2	1	2	5	2	3	3	3	2	2	2	6	2	3	3	4	3	5	3	4	4	4	4	4	3	3	3	3	2	2	1	2	1	15	20	37	24	26	30
133	21	male	single	no	undergraduate degree	work	no	0	5	4	4	4	3	3	3	4	3	2	4	3	3	4	4	4	2	1	2	2	4	3	1	1	1	2	4	1	1	3	2	1	1	5	6	6	6	6	3	3	3	2	3	3	3	2	3	2	4	4	4	4	4	4	4	4	4	4	23	22	27	40	22	22
134	26	female	single	no	undergraduate degree	work	yes	3	4	4	5	4	4	4	4	4	4	4	4	4	3	5	1	1	4	1	5	5	2	4	1	1	5	4	1	4	1	5	5	2	2	6	6	7	7	5	3	2	3	1	2	2	2	2	4	2	4	4	4	4	4	4	4	4	3	3	25	27	23	38	46	13
135	39	male	living with partner	no	some additional training	life in general	no	0	2	4	4	2	2	2	2	3	3	2	4	1	3	3	5	4	2	2	5	3	3	2	3	4	2	3	3	3	1	3	4	4	3	3	3	3	3	1	3	3	4	3	3	4	3	3	3	3	4	3	4	3	1	2	2	2	3	2	16	18	32	26	30	32
136	24	female	single	no	high school	spouse/partner	no	0	2	3	3	4	3	2	4	4	4	4	4	4	3	3	2	1	2	2	4	4	4	4	1	1	2	2	2	4	1	2	2	2	1	4	4	4	3	3	4	4	4	2	3	4	3	3	3	3	3	3	4	3	4	3	3	2	2	3	17	27	33	30	29	17
137	38	female	married first time	yes	undergraduate degree		no	0	3	5	5	5	5	5	2	4	2	3	3	3	4	5	5	1	4	1	4	4	1	4	1	4	1	1	1	2	1	2	4	1	1	6	6	6	6	6	5	4	5	1	1	5	2	1	5	4	4	4	4	4	4	4	4	4	4	4	28	21	33	40	31	17
138	53	female	divorced	no	graduate degree	work	no	0	4	5	4	4	4	5	2	2	2	2	3	4	1	3	4	1	3	2	3	2	4	3	2	2	2	3	1	2	5	2	3	1	1	2	2	3	2	2	3	3	4	1	4	4	2	5	5	5	4	4	4	4	4	4	3	4	4	4	26	16	36	39	26	23
139	31	female	married first time	yes	some additional training	money/finances	no	0	3	3	3	3	1	2	2	3	2	2	3	3	1	5	3	2	5	1	4	4	2	4	1	2	5	5	1	5	1	5	4	2	1	4	4	4	4	4	3	2	3	2	2	2	2	2	1	1	4	4	4	4	4	4	3	4	2	4	15	16	20	37	46	16
140	21	male	single		undergraduate degree	work	no	0	2	5	4	5	5	5	3	4	4	4	4	2	3	5	4	1	2	5	4	3	3	1	1	4	4	4	1	3	1	3	4	1	1	4	4	5	7	6	1	1	3	1	3	2	3	2	2	3	4	4	4	4	4	4	4	4	4	4	26	24	21	40	33	22
141	53	female	married first time	yes	some additional training	family	no	0	4	3	5	3	4	4	3	3	3	3	3	3	1	5	3	1	5	1	4	5	2	3	1	2	5	4	2	4	2	4	4	3	1	5	5	5	5	4	3	4	4	2	3	3	3	2	3	2	3	3	3	3	4	3	2	4	2	4	23	19	29	31	43	18
142	42	female	married first time	yes	high school	life in general	no	0	3	5	3	3	4	3	3	3	4	3	4	2	4	4	3	4	2	4	2	2	3	2	2	2	2	3	3	2	4	2	2	2	2	2	2	2	5	2	3	4	5	3	3	4	3	3	3	4	3	4	3	2	2	2	1	1	1	1	21	23	35	20	23	29
143	68	female	married first time	no	high school	health/illness	no	0	3	5	4	5	5	4	4	2	2	2	3	3	2	3	5	2	5	1	4	3	5	5	4	3	3	3	2	4	4	3	4	2	2	5	5	3	4	6	3	4	3	2	3	3	3	2	5	3	4	4	4	4	4	3	4	4	3	4	26	18	31	38	37	30
144	47	male	married first time	yes	some additional training	work	no	0	3	1	2	3	4	4	2	3	1	3	4	2	2	5	4	1	2	3	4	3	1	2	4	4	3	3	2	4	1	4	3	5	4	5	3	3	2	1	4	4	4	3	2	4	3	3	5	4	4	4	4	3	4	4	3	4	3	4	17	17	36	37	33	29
145	48	male	married first time	yes	some additional training	work	no	0	3	5	4	5	3	4	3	4	4	4	3	4	4	5	2	1	4	1	5	5	2	3	1	1	4	4	1	4	1	5	4	1	1	4	4	4	5	6	3	1	3	2	2	2	3	2	5	2	4	4	4	4	4	4	3	4	3	4	24	26	25	38	43	12
146	18	male	steady relationship	no	high school	work	yes	35	2	1	3	2	3	3	2	2	1	3	2	2	3	3	2	1	2	2	3	4	1	2	4	3	3	4	1	1	1	2	3	3	3	3	4	2	3	1	4	4	4	3	4	3	2	3	4	4	3	3	3	3	2	3	2	3	1	2	14	15	35	25	27	21
147	39	female	married first time	yes	undergraduate degree	work	yes	20	2	4	3	4	2	4	2	3	3	3	2	4	3	4	4	2	5	1	4	3	3	3	2	3	2	4	2	2	1	3	4	4	4	3	3	3	3	2	2	2	3	2	3	3	2	2	3	2	3	3	3	3	4	3	2	2	3	3	19	20	24	29	34	26
148	57	male	remarried	no	high school	money/finances	yes	160	3	4	5	5	5	5	4	4	4	4	4	4	4	5	1	1	4	2	4	4	1	4	1	2	5	5	1	4	2	5	5	2	2	3	2	6	5	7	3	1	1	2	2	1	1	2	4	2	4	4	4	3	4	4	4	4	4	4	27	28	19	39	45	15
149	34	male	living with partner	no	some additional training	work	yes	210	4	2	3	3	4	4	4	4	4	4	4	2	1	4	3	3	5	1	4	5	2	3	1	5	4	3	3	3	3	4	3	4	4	4	4	6	4	6	4	3	5	3	2	2	2	2	3	3	4	4	4	4	4	4	3	4	3	2	20	23	29	36	38	29
150	41	female	divorced	yes	some additional training	family	no	0	3	5	5	5	5	5	4	4	4	4	4	1	2	4	4	2	1	1	4	5	3	5	2	4	4	3	2	5	2	5	4	3	3	2	3	6	4	3	3	3	5	2	2	4	3	3	3	4	4	4	4	4	4	3	4	1	4	4	28	23	32	36	40	26
151	30	female	married first time	yes	some secondary school	money/finances	yes	10	1	4	3	3	1	3	2	3	1	1	1	4	3	3	1	1	2	1	3	5	1	3	1	1	2	2	1	3	1	5	4	1	1	2	2	4	2	1	2	3	3	2	3	3	2	4	2	2	4	4	4	3	2	4	3	4	2	4	15	15	26	34	32	10
152	19	female	steady relationship	no	high school	work	no	0	1	3	2	3	4	3	3	4	2	3	4	2	1	3	4	2	1	1	2	1	3	2	3	3	3	3	4	2	3	3	2	2	1	5	3	5	5	5	4	3	4	3	3	3	3	3	4	4	4	3	4	3	3	2	3	1	2	2	16	19	34	27	22	26
153	26	male	living with partner	no	some additional training	friendships	no	0	2	3	3	3	3	3	3	3	2	3	3	2	3	3	2	1	1	1	3	3	1	3	1	3	3	4	1	3	1	3	3	1	1	4	4	3	3	3	3	3	4	3	2	3	3	3	3	2	3	4	4	4	2	3	3	4	4	4	17	19	29	35	29	13
154	46	male	married first time	yes	undergraduate degree	work	no	0	4	5	5	5	5	5	4	4	4	4	4	4	4	4	1	1	1	1	4	5	1	4	1	1	5	5	1	4	1	5	4	1	1	6	6	6	7	6	2	2	1	1	2	2	2	1	2	2	4	4	4	4	3	4	4	4	4	4	29	28	17	39	41	10
155	58	female	married first time	no	undergraduate degree	life in general	no	0	4	5	4	4	5	5	3	3	4	4	4	4	4	4	2	1	3	1	2	4	2	3	1	2	2	4	1	3	2	4	3	2	1	4	6	4	6	4	3	3	4	2	3	4	3	2	4	3	3	3	4	4	4	3	4	3	3	4	27	26	31	35	32	15
156	44	female	widowed	yes	some additional training	work	no	0	4	5	5	5	5	5	3	3	1	4	3	4	4	3	1	1	2	1	3	3	1	2	1	1	4	3	1	3	1	4	4	1	1	7	6	6	5	5	2	2	3	2	1	3	2	2	2	1	4	4	4	3	4	4	4	3	4	3	29	22	20	37	31	10
157	30	female	married first time	no	high school	money/finances	no	0	2	3	5	4	3	4	2	3	3	3	3	2	3	3	4	4	5	1	3	2	5	2	3	4	2	2	3	5	1	2	3	3	2	4	5	5	6	5	5	4	4	3	4	3	3	3	4	3	4	4	3	3	3	3	2	2	1	2	21	19	36	27	29	30
158	21	male	steady relationship	no	high school	work	yes	3	3	4	4	4	5	5	3	4	3	3	4	3	2	4	2	2	4	2	4	5	2	4	3	3	4	3	2	4	3	4	3	4	4	4	7	5	6	5	4	4	4	3	2	3	2	3	4	3	4	4	4	4	4	4	4	3	3	4	25	22	32	38	39	27
159	22	female	single	no	high school	work	yes	1	5	4	4	4	3	3	3	3	2	4	2	2	1	3	4	2	4	4	3	4	3	4	4	4	2	3	2	3	4	3	3	2	2	4	6	5	5	3	3	4	3	3	3	3	3	3	4	3	3	3	3	2	3	2	2	1	2	2	23	17	32	23	32	31
160	35	female	married first time	yes	graduate degree	work	yes	50	3	5	4	4	5	4	2	2	2	3	3	3	2	5	3	2	4	1	5	4	3	4	3	3	4	3	1	4	2	5	3	3	2	4	4	6	6	4	3	3	5	2	2	4	2	3	4	3	4	4	4	3	4	4	4	4	2	2	25	17	31	35	41	23
161	46	male	separated	no	some additional training	friendships	no	0	5	5	4	5	5	4	3	4	3	3	3	3	3	4	2	1	1	1	3	4	1	3	2	2	3	3	1	3	2	3	4	1	1	4	6	6	6	4	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	2	2	28	22	30	36	31	14
162	22	female	single	no	undergraduate degree	work	yes	5	5	5	4	5	5	5	1	4	4	4	4	4	4	5	2	1	4	1	5	4	1	4	2	2	4	3	1	5	1	5	4	1	1	6	6	6	5	6	2	3	2	2	2	1	2	1	2	1	4	4	4	4	4	4	4	4	3	4	29	25	18	39	43	13
163	27	female	married first time	no	undergraduate degree	work	no	0	3	4	4	4	4	3	4	3	4	4	4	4	4	5	2	1	3	1	5	4	1	3	1	2	5	5	1	4	1	5	5	2	1	5	6	6	6	6	3	2	3	2	3	3	2	2	2	2	4	4	4	3	4	3	3	2	4	4	22	27	24	35	44	13
164	20	female	single	no	high school	health/illness	yes	125	2	2	3	4	4	3	3	4	3	3	3	4	1	2	2	4	2	1	5	3	2	4	4	5	2	4	2	1	1	2	3	4	3	3	5	2	3	3	2	4	5	3	3	2	2	3	3	1	2	4	3	4	2	2	1	2	1	1	18	21	28	22	28	28
165	42	female	separated	no	graduate degree	money/finances	yes	7	5	4	2	4	3	5	2	4	3	1	4	1	1	4	1	1	4	1	5	5	1	4	3	1	3	3	2	2	1	3	5	1	1	1	4	1	7	1	3	3	3	2	3	3	2	3	3	3	4	4	4	4	1	4	3	1	2	1	23	16	28	28	38	13
166	25	female	married first time	no	some additional training	work	yes	3	3	4	4	4	5	4	3	4	4	4	4	3	2	5	1	1	3	1	4	4	1	4	1	1	4	4	1	4	1	4	4	1	1	6	6	6	6	5	2	3	3	2	2	3	2	2	3	2	4	4	4	4	4	4	4	4	3	3	24	24	24	38	40	10
167	31	female	married first time	yes	undergraduate degree	children	no	0	3	5	4	5	4	5	4	4	4	4	4	3	4	4	2	3	5	1	4	3	2	5	1	2	4	4	2	5	1	4	4	2	1	6	6	7	6	7	1	1	3	1	2	3	2	3	1	2	4	4	4	4	4	3	4	3	4	3	26	27	19	37	42	17
168	60	female	divorced	no	some additional training	work	yes	150	3	4	3	2	4	4	2	3	4	2	4	3	1	4	2	1	2	1	3	3	2	3	1	1	1	4	1	3	1	3	3	1	1	3	1	2	3	2	2	2	2	2	3	1	3	2	2	2	3	4	4	4	3	3	2	1	3	4	20	19	21	31	29	12
169	24	female	single	no	high school	work	no	0	4	4	4	4	2	4	3	3	3	3	2	2	2	3	3	1	3	1	4	4	2	3	1	1	3	3	1	3	1	3	3	1	1	4	4	3	3	4	3	3	2	3	3	3	3	4	3	2	4	3	2	3	2	3	3	3	3	3	22	18	29	29	32	13
170	36	female	married first time	yes	some additional training	children	no	0	2	4	3	4	4	5	2	3	3	3	3	2	3	3	4	2	2	2	3	4	4	3	4	4	3	3	2	3	3	3	3	3	3	4	4	5	5	5	3	3	4	3	3	4	3	3	4	3	3	3	4	3	4	3	3	2	3	4	22	19	33	32	30	31
171	36	male	single	no	graduate degree	life in general	no	0	4	3	3	4	5	5	3	4	4	4	4	4	3	3	2	1	3	1	3	2	2	3	3	2	2	2	2	2	1	3	2	1	2	4	4	4	4	4	3	2	2	2	2	2	3	3	3	2	4	4	4	4	4	4	4	4	4	4	24	26	24	40	25	17
172	24	female	steady relationship	no	high school	money/finances	yes	25	1	4	3	2	3	4	3	3	3	3	3	4	3	4	3	2	2	1	3	2	2	3	2	2	3	3	2	3	1	2	3	4	4	4	4	5	5	5	3	3	3	2	2	2	2	2	3	2	4	4	4	3	4	4	4	4	3	4	17	22	24	38	28	23
173	47	male	remarried	yes	graduate degree	work	no	0	4	4	4	4	3	4	4	4	4	4	4	4	4	4	1	1	2	1	3	4	1	3	1	3	3	3	1	3	1	3	4	1	1	5	5	5	6	3	1	2	2	1	2	2	2	2	3	2	4	4	4	4	4	3	3	2	2	4	23	28	19	34	32	12
174	34	female	single	yes	some additional training	money/finances	yes		3	4	4	3	3	3	3	4	3	3	3	3	4	4	3	1	3	1	4	4	1	3	1	3	2	4	1	5	1	4	4	1	1	3	3	4	4	4	3	3	4	3	3	3	2	3	3	2	4	4	4	3	4	3	3	2	4	4	20	23	29	35	37	14
175	54	male	married first time	yes	some additional training	work	no	0	3	3	4	3	3	4	3	3	3	3	3	3	3	4	2	1	3	1	3	3	1	1	1	1	2	3	1	3	1	3	3	2	1	3	3	4	4	4	3	2	3	3	3	2	3	2	3	2	4	4	4	3	3	4	4	3	4	4	20	21	26	37	28	12
176	20	male	single	yes	high school	work	no	0	3	4	4	4	4	4	3	4	4	4	3	4	3	5	1	1	3	1	5	4	1	5	1	2	4	4	1	2	1	4	4	1	1	3	4	3	3	6	3	2	2	2	3	3	2	3	3	2	4	4	3	4	3	3	3	4	4	4	23	25	25	36	40	11
